Assureur,Canton,Hoheitsgebiet,Année,Erhebungsjahr,Region,ClasseAge,CouvertureAccident,Tarif,TypeTarif,Altersuntergruppe,Franchisestufe,Franchise,Prime,isBaseP,isBaseF,NomTarif
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST1,FRA-0,"104,6",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST2,FRA-100,"98,8",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST3,FRA-200,93,0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST4,FRA-300,"87,1",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST5,FRA-400,"81,3",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_016_24000,TAR-HAM,K1,FRAST7,FRA-600,"69,6",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST1,FRA-300,"356,6",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST2,FRA-500,345,0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST3,FRA-1000,"315,8",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST4,FRA-1500,"286,6",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST5,FRA-2000,"257,5",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-JUG,MIT-UNF,01_016_24000,TAR-HAM,,FRAST6,FRA-2500,"228,3",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST1,FRA-300,"475,4",0,1,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST2,FRA-500,"463,8",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST3,FRA-1000,"434,6",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST4,FRA-1500,"405,4",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST5,FRA-2000,"376,3",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-ERW,MIT-UNF,01_016_24000,TAR-HAM,,FRAST6,FRA-2500,"347,1",0,0,Réseau de soins neuchâtelois
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST1,FRA-0,"112,1",0,1,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST2,FRA-100,"106,3",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST3,FRA-200,"100,5",0,0,Hausarztversicherung Profit
0008,NE,CH,2019,2018,PR-REG CH0,AKL-KIN,MIT-UNF,01_046_00000,TAR-HAM,K1,FRAST4,FRA-300,"94,6",0,0,Hausarztversicherung Profit
